,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration
0,texas,fosr,0,4,2,0.5391304347826087,0.032997679932191784,30.699159622192383
0,texas,fosr,0,4,2,0.5065217391304349,0.0307745015116285,30.18717908859253
0,texas,fosr,0,4,2,0.5021739130434782,0.04323846918418025,31.514599800109863
0,texas,fosr,0,4,2,0.49565217391304356,0.023654731319539896,30.695695877075195
0,texas,fosr,0,4,2,0.47608695652173916,0.024168594973369206,31.22383761405945
0,texas,fosr,0,4,2,0.532608695652174,0.03852183727536816,29.525404930114746
0,texas,fosr,0,4,2,0.5195652173913043,0.027805699052729522,31.04442310333252
0,texas,fosr,0,4,2,0.4913043478260869,0.04609515923721243,30.232760667800903
0,texas,fosr,0,4,2,0.5021739130434782,0.028477431119674466,29.47983169555664
0,texas,fosr,0,4,2,0.48695652173913045,0.043129032235259976,31.33764362335205
0,texas,fosr,0,4,2,0.5304347826086957,0.028971010867752486,31.445271492004395
0,texas,fosr,0,4,2,0.49782608695652175,0.03861985737600426,29.04662251472473
0,texas,fosr,0,4,2,0.5130434782608695,0.0332260403035527,29.17056918144226
0,texas,fosr,0,4,2,0.4782608695652173,0.017391304347826087,31.230916500091553
0,texas,fosr,0,4,2,0.49565217391304356,0.02870882438125075,29.989620208740234
0,texas,fosr,0,4,2,0.5326086956521738,0.023211039678328934,31.826027631759644
0,texas,fosr,0,4,2,0.5391304347826087,0.03356566794020658,31.16182017326355
0,texas,fosr,0,4,2,0.5152173913043478,0.03256518836708524,29.557897806167603
0,texas,fosr,0,4,2,0.47391304347826085,0.03356566794020657,31.404188632965088
0,texas,fosr,0,4,2,0.4717391304347826,0.031979435736405715,28.71117091178894
0,texas,fosr,0,4,2,0.5,0.03585309239667531,30.92351794242859
0,texas,fosr,0,4,2,0.5108695652173914,0.02553769592276246,33.543771266937256
0,texas,fosr,0,4,2,0.5,0.03740141420453317,30.860934019088745
0,texas,fosr,0,4,2,0.5108695652173914,0.020623549957619853,32.886287450790405
0,texas,fosr,0,4,2,0.49347826086956514,0.02683704236871473,31.80128765106201
0,texas,fosr,0,4,2,0.491304347826087,0.033226040303552695,30.72844648361206
0,texas,fosr,0,4,2,0.49347826086956526,0.029520426429161663,29.817185878753662
0,texas,fosr,0,4,2,0.4782608695652174,0.02817713347133852,30.68953776359558
0,texas,fosr,0,4,2,0.5152173913043478,0.03587944527961349,31.458551168441772
0,texas,fosr,0,4,2,0.5195652173913043,0.04936266775473034,30.743242025375366
0,texas,fosr,0,4,2,0.5065217391304347,0.044360611967598974,31.54860210418701
0,texas,fosr,0,4,2,0.49347826086956526,0.023853681259730797,30.300458908081055
0,texas,fosr,0,4,2,0.5043478260869565,0.04251097934462718,30.67607808113098
0,texas,fosr,0,4,2,0.5,0.026801800012908595,29.0231773853302
0,texas,fosr,0,4,2,0.4913043478260869,0.01963754746197603,30.15790557861328
0,texas,fosr,0,4,2,0.5043478260869566,0.04295335316601207,27.950125694274902
0,texas,fosr,0,4,2,0.482608695652174,0.01924864662711187,31.35609722137451
0,texas,fosr,0,4,2,0.46521739130434786,0.049266836432053186,30.381282567977905
0,texas,fosr,0,4,2,0.4717391304347826,0.022212243085990957,30.826249599456787
0,texas,fosr,0,4,2,0.49782608695652175,0.0316227766016838,31.256513118743896
0,texas,fosr,0,4,2,0.5217391304347826,0.035853092396675314,30.186563968658447
